Title,Author,Identifier,Inventory,Count,Rate,Publisher,PublishedDate
100个句子记完5500个考研单词,俞敏洪编著,G643:H313/125,6,3,0.5,浙江教育出版社,2019
高校网络思想政治教育研究,檀江林等著,38.821/4034,20,3,0.15,合肥工业大学出版社,2007
《思想道德修养与法律基础》要点与试题,张会峰编著,G641.6/7,6,3,0.5,北京大学出版社,2015
信息资源管理,李兴国主编,G203/57,6,3,0.5,清华大学出版社,2015
大学生职业生涯规划与就业指导.第2版,赵麟斌主编,G647.38/45=2,8,3,0.38,北京大学出版社,2011
张宇线性代数9讲,张宇主编,G643:O151.2/4(2020),6,3,0.5,高等教育出版社,2019
艰苦创业 自强不息:纪念合肥工业大学增列为全国重点大学五十周年,"主编王德泽, 钟玉海",G649.285.41-53/1,31,3,0.1,合肥工业大学出版社,2010
现代英汉汉英词典,本社辞书部编,H316/58,8,14,1.75,外语教学与研究出版社,2005
牛津高阶英汉双解词典.第4版,原著霍恩比,H316/29=8,5,13,2.6,商务印书馆,2014
牛津·外研社英汉汉英词典.缩印本,朱丽,H316/41,7,12,1.71,外语教学与研究出版社,2010
汉英翻译大词典,"吴文智, 钱厚生主编",H316/65,6,11,1.83,译林出版社,2015
新世纪英汉词典,胡壮麟主编,H316/99,4,10,2.5,外语教学与研究出版社,2018
外研社英汉小词典:大字本.第2版,于麟等主编,H316/47=2,6,9,1.5,外语教学与研究出版社,2012
牛津初阶英汉双解词典.第4版,"编辑Alison Waters, Victoria Bull",H316/69=4,6,9,1.5,商务印书馆,2017
新编英汉 英英 汉英词典.第3版,主编幺建华,H316/55=3,6,9,1.5,中国经济出版社,2013
外研社·柯林斯英汉汉英词典.新版,英国柯林斯出版公司编,H316/33,8,8,1.0,外语教学与研究出版社,2011
顾家北手把手教你雅思写作:6.0版.第6版,顾家北编著,H315/145=6,10,8,0.8,中国人民大学出版社,2019.12
牛津中阶英汉双解词典:缩印本.5版,Alison Waters，Victoria Bull编辑,H316/105=4,2,8,4.0,商务印书馆,2017
"单词密码,雅思(IELTS)词汇词根 词缀记忆法",金利主编,H313.1/368-2,6,7,1.17,华东理工大学出版社有限公司,2019.11
归纳&联想四级必考4000词,主编金利,H313/524,6,7,1.17,华东理工大学出版社,2018
英汉汉英词典.第2版,张柏然主编,H316/95=2,8,7,0.88,四川辞书出版社,2018
雅思词汇真经,刘洪波编著,H313.1/332,6,7,1.17,外语教学与研究出版社,2018
6级翻译,主编潘晓燕,H315.9/120,6,7,1.17,汕头大学出版社,2014
考研英语阅读全破解,杨继编著,H319.37/136,6,6,1.0,浙江教育出版社,2020
六级阅读强化训练600题.第2版,新东方考试研究中心编著,H319.4-44/22=2,6,6,1.0,浙江教育出版社,2020
牛津高阶英汉双解词典.第7版,原著霍恩比,H316/29=7,9,6,0.67,商务印书馆,2009
雅思阅读真经.5.5.3版,刘洪波编著,H319.4/226-5=3,6,6,1.0,中国人民大学出版社,2016.09
牛津高阶英汉双解词典.第5版,原著 (英) 霍恩比,H316/29=9,3,6,2.0,商务印书馆,2018
六级词汇词根+联想记忆法,俞敏洪编著,H313/149,9,6,0.67,西安交通大学出版社,2012.05
牛津高阶英语词典:第8版·英语版.第3版,(英)A S Hornby[著],H316/59=8,6,6,1.0,商务印书馆,2012
牛津英语搭配词典:英汉双解版,克劳瑟,H316/38,5,5,1.0,外语教学与研究出版社,2006
心灵奇旅,青橙英语编著,H319.4:I712/29,6,5,0.83,华东理工大学出版社,2020
柯林斯COBUILD高阶英汉双解学习词典,[英国柯林斯出版公司编],H316/67=8,4,5,1.25,外语教学与研究出版社,2017
Tender is the night,原著(美) F ·S·菲茨杰拉德,H319.4:I/682,6,5,0.83,中国宇航出版社,2012
50000词英汉双解词典.彩插版,周全珍编著,H316/108,4,5,1.25,四川辞书出版社,2020
雅思王听力真题速成:机考笔试第二版.第4版,王陆编著,H319.9/482=4,6,5,0.83,中国人民大学出版社,2020
外研社英汉多功能词典,(日)田中茂范，武田修一，川出才纪编,H316/44,3,5,1.67,外语教学与研究出版社,2008
英语专业四级经典范文200篇,(德)Nick Stirk著,H315/179,6,5,0.83,外文出版社,2013.04
英汉-汉英词典,编者高永伟 ... [等],H316/46,5,5,1.0,上海译文出版社,2012.07
新编大学法语.1,主编徐艳 ... [等],H329.39/5-1,8,5,0.63,外语教学与研究出版社,2019
英语口译笔记法实战指导.第3版,吴钟明主编,H315.9/169=3,6,5,0.83,武汉大学出版社,2017
简明法语教程.上册.Ⅰ.第3版,孙辉编,H32-43/1-1=3,4,5,1.25,商务印书馆,2020.01
四级写作高分范文100篇:新题型,新东方考试研究中心编著,H315/497,6,5,0.83,浙江教育出版社,2015
英汉大词典,主编张柏然,H316/73,2,5,2.5,四川辞书出版社,2017.05
新版中日交流标准日本语:初级,"人民教育出版社,光村图书出版株式会社合作编写","H36/20-1, H36/20-2",12,5,0.42,人民教育出版社,2005
牛津美式英语词典,"主编Jennifer Bradbery, Victoria Bull, Diana Lea",H316/66,6,5,0.83,商务印书馆,2015.08
六级词汇词根+联想记忆法:乱序版,俞敏洪编著,H319.34/53,6,5,0.83,海豚出版社,2018
朗文多功能英汉双解词典.第5版,,H316/76,2,4,2.0,外语教学与研究出版社,2017.01
四级词汇词根+联想记忆法,俞敏洪编著,H313/147,17,4,0.24,西安交通大学出版社,2012.05
小王子,(法) 埃克絮佩里著,H319.4:I/653,4,4,1.0,外文出版社,2012
英汉汉英大词典.第2版,主编高凌,H316/24=2,6,4,0.67,外文出版社,2010
四级阅读强化训练600题.第2版,新东方考试研究中心编著,H319.4-44/26=2,6,4,0.67,浙江教育出版社,2020
简·四级听力,马德高主编,H319.9/936,2,4,2.0,上海交通大学出版社,2020.07
动物农场:英汉对照,George Orwell,H319.4:I/200,6,4,0.67,上海译文出版社,2009.07
新世纪汉英大词典.第2版,杜瑞清主编,H316/87=2,2,4,2.0,外语教学与研究出版社,2016
大学英语四级词汇分频速记多媒体课堂,宋平明主编,H319.3/20,11,4,0.36,中国铁道出版社,2013.04
大学英语4级5套模拟+3套真题.第2版,主编方振宇,H319.6/102=2,10,4,0.4,首都师范大学出版社,2012.08
The great Gatsby,原著(美) F·司各特·菲茨杰拉德,H319.4:I/726,4,4,1.0,中国宇航出版社,2011
